FID,REG_AGENCY,WATER_SYST,PWS_NAME,SYSTEM_ACT,FACILITY_N,WSF_Activi,WSF_ID,WSF_Type,LATITUDE_M,LONGITUDE_
0,DISTRICT 24 - TULARE,CA5403089,GRUMPY BEARS RETREAT,A,WELL 01,A,1.000000000000000,WL,35.989764000000001,-118.099710999999999
1,DISTRICT 24 - TULARE,CA5400827,USFS-KENNEDY CAMPGROUND,I,SPRING 01,I,1.000000000000000,WL,36.058646000000003,-118.114566999999994
2,DISTRICT 24 - TULARE,CA5403088,KENNEDY MEADOWS GENERAL STORE,A,WELL 01,A,1.000000000000000,WL,36.018608999999998,-118.123070999999996
3,DISTRICT 19 - TEHACHAPI,CA1510043,CWS-ONYX WATER SYSTEM,A,WELL 05 (LEASED),I,4.000000000000000,WL,35.697439000000003,-118.216131000000004
4,DISTRICT 19 - TEHACHAPI,CA1510043,CWS-ONYX WATER SYSTEM,A,WELL 03 - INACTIVE,I,3.000000000000000,WL,35.683332999999998,-118.216667000000001
5,DISTRICT 19 - TEHACHAPI,CA1510043,CWS-ONYX WATER SYSTEM,A,WELL 06 (SMITH WELL),A,5.000000000000000,WL,35.697375999999998,-118.216863000000004
6,DISTRICT 19 - TEHACHAPI,CA1510043,CWS-ONYX WATER SYSTEM,A,WELL 02 - INACTIVE,I,2.000000000000000,WL,35.688889000000003,-118.223056000000000
7,DISTRICT 19 - TEHACHAPI,CA1510043,CWS-ONYX WATER SYSTEM,A,WELL 01,A,1.000000000000000,WL,35.689858999999998,-118.223690000000005
8,DISTRICT 24 - TULARE,CA5400826,USFS-FISH CREEK CAMPGROUND,A,SPRING 01,A,1.000000000000000,WL,36.056041000000000,-118.230350000000001
9,DISTRICT 24 - TULARE,CA5402026,USFS-TROY MEADOW CAMPGROUND,A,WELL 01 - INACTIVE,I,1.000000000000000,WL,36.069629999999997,-118.234494999999995
10,DISTRICT 24 - TULARE,CA5402026,USFS-TROY MEADOW CAMPGROUND,A,WELL 02,A,2.000000000000000,WL,36.066783000000001,-118.237684000000002
11,DISTRICT 19 - TEHACHAPI,CA1500499,SUMMERSET MUTUAL,I,WELL 01 - INACTIVE,I,1.000000000000000,WL,35.631666000000003,-118.245829999999998
12,DISTRICT 19 - TEHACHAPI,CA1500480,KELSO MUTUAL WATER COMPANY,I,WELL 01,I,1.000000000000000,WL,35.631110999999997,-118.248056000000005
13,DISTRICT 24 - TULARE,CA5400820,USFS-BLACKROCK STATION,A,WELL 01,A,1.000000000000000,WL,36.095841999999998,-118.262084999999999
14,DISTRICT 19 - TEHACHAPI,CA1500478,"VALLEY ESTATES POA, INC.",A,WELL 01 - MARJORIE (OLD),A,2.000000000000000,WL,35.650776000000000,-118.264572000000001
15,DISTRICT 19 - TEHACHAPI,CA1500393,RAINBIRD VALLEY MUTUAL WATER COMPANY,A,WELL 01,A,2.000000000000000,WL,35.660026999999999,-118.270195000000001
16,DISTRICT 19 - TEHACHAPI,CA1500478,"VALLEY ESTATES POA, INC.",A,WELL 02 - HANNING (NEW),A,1.000000000000000,WL,35.655029999999996,-118.270921999999999
17,DISTRICT 24 - TULARE,CA5403085,USFS-BLACKROCK TRAILHEAD,A,WELL 01 - ABANDONED,I,1.000000000000000,WL,36.174754000000000,-118.271141999999998
18,DISTRICT 19 - TEHACHAPI,CA1500393,RAINBIRD VALLEY MUTUAL WATER COMPANY,A,WELL 02,A,1.000000000000000,WL,35.664422000000002,-118.271747000000005
19,DISTRICT 24 - TULARE,CA5403085,USFS-BLACKROCK TRAILHEAD,A,WELL 02 - (HORIZONTAL) DRY 2014,A,2.000000000000000,WL,36.175882999999999,-118.271895000000001
20,DISTRICT 19 - TEHACHAPI,CA1503368,SOUTH FORK MIDDLE SCHOOL,A,WELL 01,A,1.000000000000000,WL,35.645600999999999,-118.273090999999994
21,DISTRICT 19 - TEHACHAPI,CA1503373,"SOUTH FORK WOMENS CLUB, INC.",A,WELL 01,A,1.000000000000000,WL,35.666808000000003,-118.289458999999994
