"WATER_SYSTEM_NUMBER","WATER_SYSTEM_NAME","CITY","COUNTY","ZIPCODE","CLASSIFICATION","POPULATION","SERVICE_CONNECTIONS","REGULATING_AGENCY","VIOLATION_NUMBER","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","VIOL_BEGIN_DATE","VIOL_END_DATE","ENF_ACTION_NUMBER","ENF_ACTION_ISSUE_DATE","ENF_ACTION_TYPE_ISSUED","inTulareBasin"
"CA0210001","LAKE ALPINE WATER COMPANY","ARNOLD","ALPINE","95223","COMMUNITY","2650","485","DISTRICT 10 - STOCKTON","9710016","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.0758 MG/L","0.060 MG/L","2017-10-01","2017-12-31","9910010","2016-09-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0310002","AWA, IONE","JACKSON","AMADOR","95642","COMMUNITY","6560","1882","DISTRICT 10 - STOCKTON","9310004","MCL, LRAA","TTHM","0.084 MG/L","0.080 MG/L","2017-01-01","2017-03-31","9810005","2017-03-08","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0310004","PLYMOUTH, CITY OF","PLYMOUTH","AMADOR","95669","COMMUNITY","1060","495","DISTRICT 10 - STOCKTON","9910019","MCL, LRAA","TTHM","0.081 MG/L","0.080 MG/L","2017-04-01","2017-06-30","9710009","2017-08-03","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0310005","PINE GROVE COMM SERV DIST","PINE GROVE","AMADOR","95665","COMMUNITY","846","386","DISTRICT 10 - STOCKTON","9410003","MCL, LRAA","TTHM","0.0815 MG/L","0.080 MG/L","2014-07-01","2014-09-30","9510004","2014-10-23","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0310012","AWA BUCKHORN PLANT","JACKSON","AMADOR","95642","COMMUNITY","9938","2728","DISTRICT 10 - STOCKTON","9310004","MCL, LRAA","TTHM","0.094 MG/L","0.080 MG/L","2016-10-01","2016-12-31","9810005","2017-01-05","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0510012","CAMANCHE SOUTH SHORE-EBMUD","VALLEY SPRINGS,","CALAVERAS","95252","COMMUNITY","180","448","DISTRICT 10 - STOCKTON","9310003","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.067 MG/L","0.060 MG/L","2016-04-01","2016-06-30","9910006","2016-05-24","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0600008","COLUSA CO. WWD #1 - GRIMES","GRIMES","COLUSA","95950","COMMUNITY","381","123","DISTRICT 21 - VALLEY","1221039","MCL,  AVERAGE","ARSENIC","25.1 UG/L","10 UG/L","2018-04-01","2018-06-30","921006","2009-01-05","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0900102","GOLD BEACH PARK","EL DORADO","EL DORADO","95623","COMMUNITY","100","50","LPA39 - EL DORADO COUNTY","1600008","MCL,  AVERAGE","ARSENIC","18 UG/L","NA","2016-01-01","2016-12-31","9700081","2017-11-29","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0900673","DRIFTWOOD APTS.","SOUTH LAKE TAHOE","EL DORADO","96150","COMMUNITY","40","1","LPA39 - EL DORADO COUNTY","1","MCL,  AVERAGE","GROSS ALPHA PARTICLE ACTIVITY","40 PCI/L","15 PCI/L","2016-07-01","2016-12-31","1601605","2017-09-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA0900673","DRIFTWOOD APTS.","SOUTH LAKE TAHOE","EL DORADO","96150","COMMUNITY","40","1","LPA39 - EL DORADO COUNTY","2","MCL,  AVERAGE","COMBINED URANIUM","43 PCI/L","20 PCI/L","2017-01-01","2017-06-30","1601605","2017-09-07","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000005","BIG CREEK COMMUNITY SERV DIST","BIG CREEK","FRESNO","93605","COMMUNITY","124","67","DISTRICT 23 - FRESNO","1123022","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.070 MG/L","0.060 MG/L","2017-10-01","2017-12-31","1123005","2015-05-27","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800032","MCL, LRAA","TTHM","0.160 MG/L","0.080 MG/L","2017-10-01","2017-12-31","9800163","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000019","FCSA #30/EL PORVENIR","THREE ROCKS","FRESNO","93608","COMMUNITY","185","56","DISTRICT 23 - FRESNO","9800033","MCL, LRAA","TOTAL HALOACETIC ACIDS (HAA5)","0.102 MG/L","0.060 MG/L","2017-10-01","2017-12-31","9800163","2014-11-07","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000042","FCWWD #40/SHAVER SPRINGS","PINERIDGE","FRESNO","93602","COMMUNITY","193","69","DISTRICT 23 - FRESNO","1223031","MCL,  AVERAGE","ARSENIC","11.6 UG/L","10 UG/L","2013-01-01","2013-03-31","1023363","2013-06-30","RETURN TO COMPLIANCE",true
"CA1000042","FCWWD #40/SHAVER SPRINGS","PINERIDGE","FRESNO","93602","COMMUNITY","193","69","DISTRICT 23 - FRESNO","1223057","MCL,  AVERAGE","GROSS ALPHA PARTICLE ACTIVITY","83.9 PCI/L","15 PCI/L","2017-10-01","2017-12-31","1023365","2016-11-28","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000042","FCWWD #40/SHAVER SPRINGS","PINERIDGE","FRESNO","93602","COMMUNITY","193","69","DISTRICT 23 - FRESNO","1223041","MCL,  AVERAGE","COMBINED URANIUM","42.1 PCI/L","20 PCI/L","2017-10-01","2017-12-31","923360","2009-06-16","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000053","LANARE COMMUNITY SERVICES DIST","RIVERDALE","FRESNO","93656","COMMUNITY","660","153","DISTRICT 23 - FRESNO","9600026","MCL,  AVERAGE","ARSENIC","0.020 MG/L","0.010 MG/L","2018-01-01","2018-03-31","923296","2009-05-18","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000054","LAS DELTAS MUTUAL WATER SYSTEM","FIREBAUGH","FRESNO","93622","COMMUNITY","375","107","DISTRICT 23 - FRESNO","1223011","MCL, LRAA","TTHM","0.096 MG/L","0.080 MG/L","2017-07-01","2017-09-30","1323013","2017-05-30","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000071","LAKEVIEW IMPROVEMENT ASSOCIATION #1","SHAVER LAKE","FRESNO","93664","COMMUNITY","160","65","DISTRICT 23 - FRESNO","1123023","MCL,  AVERAGE","ARSENIC","0.025 MG/L","0.010 MG/L","2017-10-01","2017-12-31","1323011","2015-03-26","FORMAL ENFORCEMENT ACTION ISSUED",false
"CA1000112","FAIRMONT SCHOOL","SANGER","FRESNO","93657","NON-TRANSIENT NON-COMMUNITY","483","6","DISTRICT 23 - FRESNO","9900029","MCL,  AVERAGE","NITRATE","15.5 MG/L","10 MG/L","2017-10-01","2017-12-31","923346","2009-05-19","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000112","FAIRMONT SCHOOL","SANGER","FRESNO","93657","NON-TRANSIENT NON-COMMUNITY","483","6","DISTRICT 23 - FRESNO","9900030","MCL,  AVERAGE","1,2,3-TRICHLOROPROPANE","0.008 UG/L","0.005 UG/L","2018-01-01","2018-03-31","9900276","2018-04-23","CA STATE ACTION ISSUED",true
"CA1000204","AMERICAN UNION SCHOOL","FRESNO","FRESNO","93706","NON-TRANSIENT NON-COMMUNITY","250","33","DISTRICT 23 - FRESNO","9800011","MCL,  AVERAGE","COMBINED URANIUM","25.5 PCI/L","20 PCI/L","2017-10-01","2017-12-31","9800251","2016-03-21","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000204","AMERICAN UNION SCHOOL","FRESNO","FRESNO","93706","NON-TRANSIENT NON-COMMUNITY","250","33","DISTRICT 23 - FRESNO","9800013","STATE PRIMARY MCL VIOL - NOT CR6","1,2,3-TRICHLOROPROPANE","0.014 UG/L","0.005 UG/L","2018-01-01","2018-03-31","9800254","2018-03-21","CA STATE ACTION ISSUED",true
"CA1000207","CENTRAL WEST ARTS CENTER","FRESNO","FRESNO","93722","NON-TRANSIENT NON-COMMUNITY","56","7","DISTRICT 23 - FRESNO","1223067","MCL,  AVERAGE","NITRATE","11.1 MG/L","10 MG/L","2016-10-01","2016-12-31","912426","2008-11-17","FORMAL ENFORCEMENT ACTION ISSUED",true
"CA1000207","CENTRAL WEST ARTS CENTER","FRESNO","FRESNO","93722","NON-TRANSIENT NON-COMMUNITY","56","7","DISTRICT 23 - FRESNO","1223064","MCL,  AVERAGE","COMBINED URANIUM","49.5 PCI/L","20 PCI/L","2015-10-01","2015-12-31","912426","2008-11-17","FORMAL ENFORCEMENT ACTION ISSUED",true
